answer,%,correctness
Hello world,91%,correct
Сортировку «пузырьком»,3%,wrong answer
Для взлома аккаунта «ВКонтакте». Такая программа есть у каждого программиста,2%,wrong answer
"Это вопрос с подвохом. Начинают они с починки утюгов, программы тут не при чём.",4%,wrong answer
"Нет, это фантастика",71%,correct
"Да, конечно",29%,wrong answer
"Буду искать ошибку в компиляторе, где-то она должна быть",73%,correct
Выключу комп и спокойно пойду спать — дело сделано,8%,wrong answer
Порадуюсь за себя и продолжу писать код,19%,wrong answer
"Изменятся, конечно",80%,correct
"Не изменятся. Вы же сами сказали, что всё чётко зафиксировано",20%,wrong answer
Какой правильный ответ на вопрос про рекурсию?,75%,correct
Да,12%,wrong answer
42,13%,wrong answer
Неизвестно,88%,correct
"Была одна, теперь ошибок не будет",12%,wrong answer
"Его код просто ужасен, ну кто так пишет!",73%,correct
"Надо сначала детально изучить проект, чтобы понять это",27%,wrong answer
1,76%,correct
2,13%,wrong answer
0,10%,wrong answer
"Феномен о том, что при определённой концентрации алкоголя в крови программистские способности резко возрастают",59%,correct
Гора в Северной Америке,14%,wrong answer
Яхта Стива Балмера — бывшего генерального директора Microsoft,27%,wrong answer
Несколько переменных типа «строка»,79%,correct
Разновидность мини-трусиков,15%,wrong answer
«Верёвки» на английском,6%,wrong answer
31,23%,correct
5,32%,wrong answer
4,12%,wrong answer
32,33%,wrong answer
Никто не знает наверняка,71%,correct
Одно,22%,wrong answer
У него не осталось яблок,7%,wrong answer
