index,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2023-09-30,2271.8931684892227,2145.1666666667,484.6907753659
2023-10-01,2271.8931684892227,2147.0,483.8834836075
2023-10-02,2271.8931684892227,2156.5,483.2816143168
2023-10-03,2271.8931684892227,2147.0,484.6148089199
2023-10-04,2271.8931684892227,2150.0,484.1300811393
2023-10-05,2271.8931684892227,2131.0,483.792732414
2023-10-06,2271.8931684892227,2136.3333333333,483.0150804057
2023-10-07,2271.8931684892227,2141.6666666667,482.7810197788
2023-10-08,2271.8931684892227,2147.0,482.5622193218
2023-10-09,2271.8931684892227,2179.5,482.3477883834
2023-10-10,2271.8931684892227,2186.0,483.8722019859
2023-10-11,2271.8931684892227,2279.0,483.4870434723
2023-10-12,2271.8931684892227,2269.0,483.2052933054
2023-10-13,2271.8931684892227,2261.0,482.457146807
2023-10-14,2271.8931684892227,2253.0,482.238747734
2023-10-15,2271.8931684892227,2245.0,482.0284013764
2023-10-16,2271.8931684892227,2216.0,481.8184995931
2023-10-17,2271.8931684892227,2186.5,483.3453355574
2023-10-18,2271.8931684892227,2220.0,482.9614779139
2023-10-19,2271.8931684892227,2197.5,482.6804264913
2023-10-20,2271.8931684892227,2196.0,481.9326558314
2023-10-21,2271.8931684892227,2194.5,481.7144598296
2023-10-22,2271.8931684892227,2193.0,481.5042239728
2023-10-23,2271.8931684892227,2226.5,481.2943830849
2023-10-24,2271.8931684892227,2215.0,482.8212533767
2023-10-25,2271.8931684892227,2220.0,482.4374158282
2023-10-26,2271.8931684892227,2203.0,482.156376876
2023-10-27,2271.8931684892227,2216.0,481.4086146018
2023-10-28,2271.8931684892227,2229.0,481.1904247977
2023-10-29,2271.8931684892227,2242.0,480.9801939666
2023-10-30,2271.8931684892227,2262.0,480.7703574763
2023-10-31,2271.8931684892227,2227.0,482.2972318293
2023-11-01,2271.8931684892227,2195.0,481.9133981618
2023-11-02,2271.8931684892227,2211.0,481.632362994
2023-11-03,2271.8931684892227,2217.3333333333,480.8846044526
2023-11-04,2271.8931684892227,2223.6666666667,480.6664183535
2023-11-05,2271.8931684892227,2230.0,480.4561912125
2023-11-06,2271.8931684892227,2195.0,480.2463584044
2023-11-07,2271.8931684892227,2205.0,481.7732364353
2023-11-08,2271.8931684892227,2213.0,481.3894064434
2023-11-09,2271.8931684892227,2178.0,481.1083749499
2023-11-10,2271.8931684892227,2167.5,480.3606200821
2023-11-11,2271.8931684892227,2157.0,480.1424376563
2023-11-12,2271.8931684892227,2146.5,479.9322141883
2023-11-13,2271.8931684892227,2140.0,479.7223850532
2023-11-14,2271.8931684892227,2144.0,481.2492667569
2023-11-15,2271.8931684892227,2171.5,480.8654404378
2023-11-16,2271.8931684892227,2139.0,480.584412617
2023-11-17,2271.8931684892227,2133.6666666667,479.8366614219
2023-11-18,2271.8931684892227,2128.3333333333,479.6184826688
2023-11-19,2271.8931684892227,2123.0,479.4082628735
2023-11-20,2271.8931684892227,2174.0,479.198437411
2023-11-21,2271.8931684892227,2180.0,480.7253227873
2023-11-22,2271.8931684892227,2163.0,480.3415001407
2023-11-23,2271.8931684892227,2160.5,480.0604759926
2023-11-24,2271.8931684892227,2160.375,479.31272847
2023-11-25,2271.8931684892227,2160.25,479.0945533894
2023-11-26,2271.8931684892227,2160.125,478.8843372665
2023-11-27,2271.8931684892227,2160.0,478.6745154764
2023-11-28,2271.8931684892227,2179.5,480.2014045252
2023-11-29,2271.8931684892227,2204.0,479.817585551
2023-11-30,2271.8931684892227,2234.0,479.5365650752
2023-12-01,2271.8931684892227,2221.6666666667,478.788821225
2023-12-02,2271.8931684892227,2209.3333333333,478.5706498167
2023-12-03,2271.8931684892227,2197.0,478.3604373661
2023-12-04,2271.8931684892227,2188.5,478.1506192483
2023-12-05,2271.8931684892227,2206.0,479.6775119693
2023-12-06,2271.8931684892227,2180.0,479.2936966674
2023-12-07,2271.8931684892227,2181.0,479.0126798637
2023-12-08,2271.8931684892227,2185.6666666667,478.2649396857
2023-12-09,2271.8931684892227,2190.3333333333,478.0467719495
2023-12-10,2271.8931684892227,2195.0,477.8365631711
2023-12-11,2271.8931684892227,2199.0,477.6267487253
2023-12-12,2271.8931684892227,2197.0,479.1536451184
2023-12-13,2271.8931684892227,2235.0,478.7698334885
2023-12-14,2271.8931684892227,2197.0,478.4888203569
2023-12-15,2271.8931684892227,2200.0,477.7410838508
2023-12-16,2271.8931684892227,2203.0,477.5229197866
2023-12-17,2271.8931684892227,2206.0,477.3127146801
2023-12-18,2271.8931684892227,2215.5,477.1029039062
2023-12-19,2271.8931684892227,2247.0,478.6298039712
2023-12-20,2271.8931684892227,2212.0,478.2459960131
2023-12-21,2271.8931684892227,2240.0,477.9649865533
2023-12-22,2271.8931684892227,2235.0,477.2172537191
2023-12-23,2271.8931684892227,2230.0,476.9990933266
2023-12-24,2271.8931684892227,2225.0,476.7888918919
2023-12-25,2271.8931684892227,2238.5,476.5790847898
2023-12-26,2271.8931684892227,2226.0,478.1059885264
2023-12-27,2271.8931684892227,2265.0,477.72218424
2023-12-28,2271.8931684892227,2342.0,477.4411784519
